Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-04-28,Sunday,Win,4.59250020980835,4.570499897003174,4.681000232696533,4.5625,0.02200031280517578,44.00062561035156,1.100015640258789e-05,21:55:00,4.5929999351501465,Above Opening High,22:40:00,4.6020002365112305,Above Opening High,1.8799464467382292,4.400014877319336e-05,1.6876734086337368,3.949999809265137e-05,Crossed Below Opening Low,20:35:00,4.583000183105469
2024-04-29,Monday,Win,4.674499988555908,4.667500019073486,4.694499969482422,4.553500175476074,0.006999969482421875,13.99993896484375,3.4999847412109374e-06,20:50:00,4.666999816894531,Below Opening Low,21:20:00,4.684500217437744,Above Opening High,2.4925801481184857,5.674982070922852e-05,0.21300995014768798,4.999876022338867e-06,Crossed Above Opening High,20:30:00,4.673500061035156
2024-04-30,Tuesday,Win,4.548500061035156,4.535999774932861,4.597499847412109,4.512499809265137,0.012500286102294922,25.000572204589844,6.250143051147461e-06,21:20:00,4.533999919891357,Below Opening Low,21:25:00,4.5320000648498535,Below Opening Low,0.4764567653183349,1.0750055313110351e-05,0.43213864618184716,9.7501277923584e-06,Crossed Above Opening High,01:40:00,4.548500061035156
2024-05-01,Wednesday,Win,4.577000141143799,4.56850004196167,4.581999778747559,4.466000080108643,0.008500099182128906,17.000198364257812,4.250049591064453e-06,21:05:00,4.578999996185303,Above Opening High,21:10:00,4.578000068664551,Above Opening High,0.06546885000234152,1.4998912811279298e-06,0.08729180000312202,1.9998550415039062e-06,Crossed Below Opening Low,20:30:00,4.570000171661377
2024-05-02,Thursday,Win,4.506499767303467,4.498000144958496,4.565000057220459,4.482999801635742,0.008499622344970703,16.999244689941406,4.249811172485351e-06,20:50:00,4.508999824523926,Above Opening High,20:55:00,4.510000228881836,Above Opening High,1.2267301641750838,2.8000116348266602e-05,1.2048155016258946,2.7499914169311524e-05,Crossed Below Opening Low,22:05:00,4.502500057220459
2024-05-05,Sunday,Win,4.581500053405762,4.570000171661377,4.638500213623047,4.5355000495910645,0.011499881744384766,22.99976348876953,5.749940872192383e-06,20:55:00,4.557499885559082,Below Opening Low,21:40:00,4.5854997634887695,Above Opening High,0.4850586644795904,1.099991798400879e-05,1.14262040947239,2.6500225067138673e-05,Crossed Above Opening High,21:05:00,4.578499794006348
2024-05-06,Monday,Win,4.618000030517578,4.604499816894531,4.644999980926514,4.566999912261963,0.013500213623046875,27.00042724609375,6.750106811523438e-06,20:50:00,4.619500160217285,Above Opening High,20:55:00,4.621500015258789,Above Opening High,0.5489735374367471,1.2749910354614257e-05,0.5059196074105731,1.1749982833862305e-05,Crossed Below Opening Low,21:40:00,4.603000164031982
2024-05-07,Tuesday,Loss,4.597499847412109,4.5920000076293945,4.593999862670898,4.505000114440918,0.005499839782714844,10.999679565429688,2.749919891357422e-06,20:35:00,4.591000080108643,Below Opening Low,20:55:00,4.590000152587891,Below Opening Low,1.9089892005118723,4.29999828338623e-05,1.8867932516694594,4.250001907348633e-05,Not Crossed,N/A,N/A
2024-05-08,Wednesday,Win,4.541500091552734,4.5355000495910645,4.6020002365112305,4.518499851226807,0.006000041961669922,12.000083923339844,3.000020980834961e-06,21:00:00,4.541999816894531,Above Opening High,21:20:00,4.547999858856201,Above Opening High,1.3037900159298004,3.000020980834961e-05,1.1734110143368204,2.700018882751465e-05,Crossed Below Opening Low,21:15:00,4.545000076293945
2024-05-09,Thursday,Win,4.609499931335449,4.60099983215332,4.745500087738037,4.60099983215332,0.008500099182128906,17.000198364257812,4.250049591064453e-06,21:05:00,4.610499858856201,Above Opening High,21:15:00,4.614500045776367,Above Opening High,2.8448051076990786,6.750011444091797e-05,2.7605107900042554,6.550002098083496e-05,Crossed Below Opening Low,20:45:00,4.6020002365112305
