Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,20:36:00,Above High,18065.25,18060.75,18035.5,18066.0,17890.75,,,,,
2024-03-12,Tuesday,20:35:00,Below Low,18223.5,18238.0,18224.5,18241.75,17930.0,04:30:00,Crossed Below Low,18034.75,,
2024-03-13,Wednesday,21:45:00,Above High,18129.75,18126.25,18105.0,18256.5,18033.25,03:02:00,,,Crossed Above High,18238.75
2024-03-14,Thursday,20:31:00,Above High,18006.5,18004.75,17977.5,18177.75,17915.5,09:13:00,Crossed Below Low,18104.75,,
2024-03-17,Sunday,20:55:00,Above High,18090.75,18088.5,18063.5,18127.0,18071.75,,,,,
2024-03-18,Monday,20:32:00,Below Low,18176.25,18196.25,18177.25,18381.0,18122.5,23:07:00,,,Crossed Above High,18196.25
2024-03-19,Tuesday,21:13:00,Below Low,18244.25,18281.25,18246.75,18289.25,18053.25,,,,,
2024-03-20,Wednesday,20:35:00,Below Low,18568.75,18584.75,18570.0,18596.5,18234.0,06:32:00,,,Crossed Above High,18283.25
2024-03-20,Wednesday,20:35:00,Below Low,18568.75,18584.75,18570.0,18596.5,18234.0,22:30:00,,,Crossed Above High,18585.5
2024-03-21,Thursday,20:43:00,Below Low,18582.0,18595.0,18584.0,18709.0,18532.25,,,,,
2024-03-24,Sunday,21:39:00,Above High,18597.75,18597.5,18571.75,18601.25,18565.75,22:18:00,Crossed Below Low,18568.25,,
2024-03-25,Monday,20:41:00,Above High,18547.75,18547.25,18532.25,18576.25,18414.75,23:36:00,Crossed Below Low,18531.25,,
2024-03-26,Tuesday,20:52:00,Above High,18494.0,18493.25,18483.0,18619.0,18439.25,21:38:00,Crossed Below Low,18483.0,,
2024-03-27,Wednesday,21:00:00,Above High,18504.5,18503.75,18474.75,18571.75,18378.5,,,,,
2024-03-28,Thursday,,,,,,,,05:18:00,Crossed Below Low,18474.25,,
2024-03-31,Sunday,21:27:00,Below Low,18589.75,18612.0,18590.0,18604.0,18563.25,,,,,
2024-04-01,Monday,22:34:00,Above High,18481.5,18481.0,18458.0,18607.0,18414.5,,,,,
2024-04-02,Tuesday,21:06:00,Below Low,18294.0,18333.25,18300.5,18511.0,18201.5,01:19:00,Crossed Below Low,18457.25,,
2024-04-03,Wednesday,,,,,,,,10:01:00,,,Crossed Above High,18337.0
2024-04-04,Thursday,20:36:00,Below Low,18077.75,18110.0,18084.0,18568.0,18053.5,23:58:00,,,Crossed Above High,18110.75
2024-04-07,Sunday,21:25:00,Above High,18326.5,18325.5,18285.25,18333.5,18270.25,23:35:00,Crossed Below Low,18276.5,,
2024-04-08,Monday,21:55:00,Below Low,18291.0,18313.75,18291.75,18376.0,18237.5,,,,,
2024-04-09,Tuesday,20:54:00,Above High,18381.0,18380.75,18366.75,18405.0,18160.75,00:37:00,,,Crossed Above High,18314.0
2024-04-10,Wednesday,21:46:00,Above High,18177.0,18176.75,18147.75,18474.25,18053.5,05:51:00,Crossed Below Low,18364.5,,
2024-04-11,Thursday,20:36:00,Above High,18496.25,18495.75,18473.0,18518.75,18088.0,06:06:00,Crossed Below Low,18146.75,,
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,21:11:00,Below Low,17862.25,17893.75,17863.25,18350.75,17795.75,,,,,
2024-04-16,Tuesday,20:32:00,Below Low,17899.0,17940.0,17903.5,17988.0,17792.0,07:33:00,,,Crossed Above High,17895.75
2024-04-17,Wednesday,20:33:00,Above High,17698.75,17698.0,17678.5,17968.5,17620.25,06:47:00,,,Crossed Above High,17941.5
2024-04-18,Thursday,20:57:00,Below Low,17435.75,17517.25,17437.75,17770.75,17181.75,05:30:00,Crossed Below Low,17677.75,,
2024-04-21,Sunday,20:37:00,Below Low,17245.0,17273.0,17249.25,17259.5,17200.75,,,,,
2024-04-22,Monday,21:27:00,Below Low,17315.25,17338.5,17316.0,17448.0,17148.5,01:53:00,,,Crossed Above High,17275.0
