Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-04-28,Sunday,Win,4.59250020980835,4.570499897003174,4.607999801635742,4.5625,0.02200031280517578,44.00062561035156,1.100015640258789e-05,21:15:00,4.566999912261963,Below Opening Low,21:16:00,4.568999767303467,Below Opening Low,0.09862821396083048,2.249956130981445e-06,0.14246065322666954,3.2498836517333985e-06,2024-04-28,21:44:00,,,Crossed Above Opening Range High,4.59250020980835
2024-04-29,Monday,Win,4.674499988555908,4.667500019073486,4.694499969482422,4.573500156402588,0.006999969482421875,13.99993896484375,3.4999847412109374e-06,20:54:00,4.666999816894531,Below Opening Low,21:01:00,4.665999889373779,Below Opening Low,2.0443786442436265,4.674983024597168e-05,2.022515137376744,4.62498664855957e-05,2024-04-29,21:17:00,,,Crossed Above Opening Range High,4.674499988555908
2024-04-30,Tuesday,Win,4.548500061035156,4.535999774932861,4.681000232696533,4.521500110626221,0.012500286102294922,25.000572204589844,6.250143051147461e-06,21:00:00,4.5345001220703125,Below Opening Low,21:23:00,4.5335001945495605,Below Opening Low,0.2875154512003609,6.500005722045899e-06,0.26540050049181246,6.000041961669922e-06,2024-05-01,01:40:00,,,Crossed Above Opening Range High,4.548500061035156
2024-05-01,Wednesday,Win,4.577000141143799,4.56850004196167,4.597499847412109,4.512499809265137,0.008500099182128906,17.000198364257812,4.250049591064453e-06,21:05:00,4.58050012588501,Above Opening High,21:06:00,4.58050012588501,Above Opening High,0.3697601324917628,8.499860763549805e-06,0.3697601324917628,8.499860763549805e-06,2024-05-01,21:30:00,Crossed Below Opening Range Low,4.563499927520752,,
2024-05-02,Thursday,Win,4.506499767303467,4.498000144958496,4.579999923706055,4.466000080108643,0.008499622344970703,16.999244689941406,4.249811172485351e-06,20:51:00,4.506999969482422,Above Opening High,20:52:00,4.509500026702881,Above Opening High,1.593885489949147,3.649997711181641e-05,1.5392990868464156,3.524994850158691e-05,2024-05-02,22:05:00,Crossed Below Opening Range Low,4.498000144958496,,
2024-05-05,Sunday,Win,4.581500053405762,4.570000171661377,4.598499774932861,4.5355000495910645,0.011499881744384766,22.99976348876953,5.749940872192383e-06,20:59:00,4.557499885559082,Below Opening Low,21:00:00,4.560999870300293,Below Opening Low,0.4850586644795904,1.099991798400879e-05,0.5622273273159298,1.2749910354614257e-05,2024-05-05,21:06:00,,,Crossed Above Opening Range High,4.581500053405762
2024-05-06,Monday,Win,4.618000030517578,4.604499816894531,4.644999980926514,4.5879998207092285,0.013500213623046875,27.00042724609375,6.750106811523438e-06,20:42:00,4.61899995803833,Above Opening High,20:53:00,4.61899995803833,Above Opening High,0.5597421527437231,1.3000011444091798e-05,0.5597421527437231,1.3000011444091798e-05,2024-05-06,21:44:00,Crossed Below Opening Range Low,4.603000164031982,,
2024-05-07,Tuesday,Loss,4.597499847412109,4.5920000076293945,4.618500232696533,4.551000118255615,0.005499839782714844,10.999679565429688,2.749919891357422e-06,20:37:00,4.5904998779296875,Below Opening Low,20:38:00,4.5914998054504395,Below Opening Low,0.867935808562721,1.9749879837036134e-05,0.8899074080962148,2.024984359741211e-05,2024-05-08,21:15:00,Crossed Below Opening Range Low,4.534999847412109,,
2024-05-08,Wednesday,Loss,4.541500091552734,4.5355000495910645,4.581500053405762,4.505000114440918,0.006000041961669922,12.000083923339844,3.000020980834961e-06,21:01:00,4.541999816894531,Above Opening High,21:03:00,4.542500019073486,Above Opening High,0.8621681992968018,1.9750118255615233e-05,0.8512503301900833,1.9500017166137696e-05,2024-05-12,22:30:00,,,Crossed Above Opening Range High,4.6504998207092285
2024-05-09,Thursday,Win,4.609499931335449,4.60099983215332,4.632500171661377,4.518499851226807,0.008500099182128906,17.000198364257812,4.250049591064453e-06,21:02:00,4.612500190734863,Above Opening High,21:02:00,4.612500190734863,Above Opening High,0.43173189822766866,9.999990463256835e-06,0.43173189822766866,9.999990463256835e-06,2024-05-13,21:38:00,Crossed Below Opening Range Low,4.7779998779296875,,
2024-05-12,Sunday,Loss,4.649499893188477,4.638999938964844,4.673999786376953,4.616000175476074,0.010499954223632812,20.999908447265625,5.249977111816406e-06,21:03:00,4.637499809265137,Below Opening Low,21:09:00,4.634500026702881,Below Opening Low,0.4657632792842154,1.074981689453125e-05,0.40077665778898386,9.24992561340332e-06,2024-05-15,09:09:00,Crossed Below Opening Range Low,4.901500225067139,,
2024-05-13,Monday,Win,4.7870001792907715,4.778500080108643,4.803999900817871,4.652500152587891,0.008500099182128906,17.000198364257812,4.250049591064453e-06,20:54:00,4.789000034332275,Above Opening High,20:57:00,4.7895002365112305,Above Opening High,0.31223702737883086,7.499933242797852e-06,0.30182482527054355,7.249832153320313e-06,2024-05-16,02:28:00,Crossed Below Opening Range Low,4.928999900817871,,
2024-05-14,Tuesday,Loss,4.954999923706055,4.906000137329102,5.069499969482422,4.786499977111816,0.048999786376953125,97.99957275390625,2.4499893188476564e-05,21:07:00,4.955999851226807,Above Opening High,21:08:00,4.964000225067139,Above Opening High,2.2388819200881307,5.6750059127807614e-05,2.081068055042406,5.27498722076416e-05,2024-05-16,22:50:00,,,Crossed Above Opening Range High,4.888500213623047
2024-05-15,Wednesday,Win,4.9679999351501465,4.929999828338623,5.127999782562256,4.814000129699707,0.03800010681152344,76.00021362304688,1.9000053405761717e-05,21:35:00,4.971499919891357,Above Opening High,21:36:00,4.973999977111816,Above Opening High,3.0518695262639373,7.824993133544922e-05,3.0031164582751195,7.699990272521973e-05,2024-05-20,03:27:00,Crossed Below Opening Range Low,5.073500156402588,,
2024-05-16,Thursday,Loss,4.886499881744385,4.874000072479248,5.019999980926514,4.8414998054504395,0.012499809265136719,24.999618530273438,6.249904632568359e-06,20:56:00,4.873499870300293,Below Opening Low,21:04:00,4.86899995803833,Below Opening Low,0.66095355025789,1.6000032424926757e-05,0.5680089578219468,1.3750076293945312e-05,2024-05-20,21:49:00,Crossed Below Opening Range Low,5.097499847412109,,
2024-05-19,Sunday,Win,5.103499889373779,5.073500156402588,5.198999881744385,5.083499908447266,0.029999732971191406,59.99946594238281,1.4999866485595703e-05,20:43:00,5.105999946594238,Above Opening High,20:44:00,5.107500076293945,Above Opening High,1.7888043328622438,4.649996757507324e-05,1.7599501352506117,4.574990272521973e-05,2024-05-21,20:52:00,Crossed Below Opening Range Low,5.104499816894531,,
2024-05-20,Monday,Win,5.123000144958496,5.1020002365112305,5.164000034332275,5.004000186920166,0.020999908447265625,41.99981689453125,1.0499954223632812e-05,20:56:00,5.123499870300293,Above Opening High,20:58:00,5.124499797821045,Above Opening High,0.7842789264663366,2.025008201599121e-05,0.7649154966812078,1.9750118255615233e-05,2024-05-22,21:16:00,Crossed Below Opening Range Low,4.796500205993652,,
2024-05-21,Tuesday,Loss,5.120500087738037,5.108500003814697,5.179500102996826,5.0395002365112305,0.012000083923339844,24.000167846679688,6.000041961669922e-06,20:32:00,5.121500015258789,Above Opening High,20:33:00,5.121500015258789,Above Opening High,1.1198008800980355,2.9000043869018556e-05,1.1198008800980355,2.9000043869018556e-05,2024-05-23,21:14:00,,,Crossed Above Opening Range High,4.78249979019165
2024-05-22,Wednesday,Loss,4.817999839782715,4.796500205993652,5.074999809265137,4.7835001945495605,0.0214996337890625,42.999267578125,1.074981689453125e-05,21:09:00,4.820000171661377,Above Opening High,21:19:00,4.7895002365112305,Below Opening Low,5.024623589900861,0.0001274998188018799,0.12543204176110456,3.000020980834961e-06,2024-05-26,21:13:00,,,Crossed Above Opening Range High,4.78000020980835
2024-05-23,Thursday,Loss,4.78249979019165,4.764500141143799,4.862500190734863,4.743500232696533,0.017999649047851562,35.999298095703125,8.99982452392578e-06,20:42:00,4.763999938964844,Below Opening Low,21:16:00,4.786499977111816,Above Opening High,0.4321641248588513,1.0249853134155273e-05,1.5629863371082162,3.8000106811523434e-05,2024-05-28,02:24:00,Crossed Below Opening Range Low,4.815499782562256,,
2024-05-26,Sunday,Win,4.7789998054504395,4.765999794006348,4.7835001945495605,4.760000228881836,0.013000011444091797,26.000022888183594,6.500005722045899e-06,20:41:00,4.764500141143799,Below Opening Low,20:42:00,4.76200008392334,Below Opening Low,0.0945359673442696,2.249956130981445e-06,0.042013759355925266,9.999275207519531e-07,2024-05-28,22:30:00,,,Crossed Above Opening Range High,4.880499839782715
2024-05-27,Monday,Loss,4.834000110626221,4.816500186920166,4.860000133514404,4.750999927520752,0.017499923706054688,34.999847412109375,8.749961853027344e-06,21:07:00,4.834499835968018,Above Opening High,21:12:00,4.8394999504089355,Above Opening High,0.5246974659637865,1.275014877319336e-05,0.42181445560258624,1.0250091552734374e-05,2024-05-29,21:02:00,,,Crossed Above Opening Range High,4.775000095367432
2024-05-28,Tuesday,Loss,4.876500129699707,4.866000175476074,4.9029998779296875,4.78849983215332,0.010499954223632812,20.999908447265625,5.249977111816406e-06,20:37:00,4.865499973297119,Below Opening Low,20:42:00,4.863999843597412,Below Opening Low,1.6080222166192069,3.850007057189941e-05,1.5766944573566064,3.77500057220459e-05,2024-05-30,21:15:00,Crossed Below Opening Range Low,4.652500152587891,,
