Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,18060.75,18035.5,18066.0,17890.75,25.25,2525.0,0.2525,20:36:00,18065.25,Above Opening High,20:37:00,18064.75,Above Opening High,0.004151444702756559,0.0075,0.0069190745045942656,0.0125,2024-03-12,04:30:00,Crossed Below Opening Range Low,18034.75,,
2024-03-12,Tuesday,Win,18238.0,18224.5,18241.75,17930.0,13.5,1350.0,0.135,20:35:00,18223.5,Below Opening Low,20:37:00,18223.75,Below Opening Low,1.636921360847741,2.935,1.6383156720580032,2.9375,2024-03-13,03:02:00,,,Crossed Above Opening Range High,18238.75
2024-03-13,Wednesday,Win,18126.25,18105.0,18256.5,18033.25,21.25,2125.0,0.2125,21:45:00,18129.75,Above Opening High,21:46:00,18127.75,Above Opening High,0.6942732725330705,1.2675,0.7052282748610085,1.2875,2024-03-14,09:13:00,Crossed Below Opening Range Low,18104.75,,
2024-03-14,Thursday,Win,18004.75,17977.5,18177.75,17915.5,27.25,2725.0,0.2725,20:31:00,18006.5,Above Opening High,20:32:00,18007.0,Above Opening High,0.942085791695892,1.7125,0.9393351762456851,1.7075,2024-03-15,00:37:00,Crossed Below Opening Range Low,17976.25,,
2024-03-17,Sunday,Loss,18088.5,18063.5,18127.0,18071.75,25.0,2500.0,0.25,20:55:00,18090.75,Above Opening High,20:56:00,18092.0,Above Opening High,0.19997793346941029,0.3625,0.19308214266012025,0.35,2024-03-18,23:07:00,,,Crossed Above Opening Range High,18196.25
2024-03-18,Monday,Win,18196.25,18177.25,18381.0,18122.5,19.0,1900.0,0.19,20:32:00,18176.25,Below Opening Low,20:47:00,18162.75,Below Opening Low,0.2965926334666851,0.5375,0.22209959994481998,0.4025,2024-03-20,06:32:00,,,Crossed Above Opening Range High,18283.25
2024-03-19,Tuesday,Win,18281.25,18246.75,18289.25,18053.25,34.5,3450.0,0.345,21:13:00,18244.25,Below Opening Low,21:14:00,18244.5,Below Opening Low,1.0579812499134507,1.91,1.059366042125379,1.9125,2024-03-20,22:30:00,,,Crossed Above Opening Range High,18585.5
2024-03-20,Wednesday,Win,18584.75,18570.0,18596.5,18234.0,14.75,1475.0,0.1475,20:35:00,18568.75,Below Opening Low,20:36:00,18569.25,Below Opening Low,1.8358560930130525,3.3475,1.838598223099704,3.3525,2024-03-22,04:58:00,,,Crossed Above Opening Range High,18595.25
2024-03-21,Thursday,Loss,18595.0,18584.0,18709.0,18532.25,11.0,1100.0,0.11,20:43:00,18582.0,Below Opening Low,20:44:00,18583.0,Below Opening Low,0.26845094362530186,0.4975,0.2738469424921421,0.5075,2024-03-24,22:18:00,Crossed Below Opening Range Low,18568.25,,
2024-03-24,Sunday,Win,18597.5,18571.75,18601.25,18565.75,25.75,2575.0,0.2575,21:39:00,18597.75,Above Opening High,22:20:00,18566.0,Below Opening Low,0.018815939788992677,0.035,0.001346565584476792,0.0025,2024-03-25,23:36:00,Crossed Below Opening Range Low,18531.25,,
2024-03-25,Monday,Win,18547.25,18532.25,18576.25,18414.75,15.0,1500.0,0.15,20:41:00,18547.75,Above Opening High,20:48:00,18548.75,Above Opening High,0.1534217078258529,0.285,0.1480384900074019,0.275,2024-03-26,21:38:00,Crossed Below Opening Range Low,18483.0,,
2024-03-26,Tuesday,Win,18493.25,18483.0,18619.0,18439.25,10.25,1025.0,0.1025,20:52:00,18494.0,Above Opening High,20:56:00,18495.5,Above Opening High,0.6713572157473549,1.25,0.6633009291583866,1.235,2024-03-28,05:18:00,Crossed Below Opening Range Low,18474.25,,
2024-03-27,Wednesday,Win,18503.75,18474.75,18571.75,18378.5,29.0,2900.0,0.29,21:00:00,18504.5,Above Opening High,21:36:00,18587.0,Below Opening Low,0.36210911734219986,0.6725,0.12794095861446675,0.2375,2024-04-02,01:19:00,Crossed Below Opening Range Low,18457.25,,
2024-03-31,Sunday,Win,18612.0,18590.0,18604.0,18563.25,22.0,2200.0,0.22,21:27:00,18589.75,Below Opening Low,22:55:00,18487.0,Above Opening High,0.14275517487508924,0.265,0.6450225757901527,1.2,2024-04-03,10:01:00,,,Crossed Above Opening Range High,18337.0
2024-04-01,Monday,Loss,18481.0,18458.0,18607.0,18414.5,23.0,2300.0,0.23,22:34:00,18481.5,Above Opening High,21:07:00,18296.25,Below Opening Low,0.6744773472349116,1.255,0.52056149218471,0.9475,2024-04-04,23:58:00,,,Crossed Above Opening Range High,18110.75
2024-04-02,Tuesday,Loss,18333.25,18300.5,18511.0,18201.5,32.75,3275.0,0.3275,21:06:00,18294.0,Below Opening Low,20:37:00,18059.0,Below Opening Low,0.5081998736367882,0.925,0.030465006785387876,0.055,2024-04-07,23:35:00,Crossed Below Opening Range Low,18276.5,,
2024-04-03,Wednesday,Win,18485.0,18416.5,18454.0,18232.5,68.5,6850.0,0.685,20:36:00,18077.75,Below Opening Low,21:27:00,18328.75,Above Opening High,0.13432298446284652,0.2425,0.02558164584230935,0.0475,2024-04-09,00:37:00,,,Crossed Above Opening Range High,18314.0
2024-04-04,Thursday,Win,18110.0,18084.0,18568.0,18053.5,26.0,2600.0,0.26,21:25:00,18326.5,Above Opening High,21:58:00,18287.0,Below Opening Low,0.03818147107753566,0.07,0.271418779986292,0.495,2024-04-10,05:51:00,Crossed Below Opening Range Low,18364.5,,
2024-04-07,Sunday,Loss,18325.5,18285.25,18333.5,18270.25,40.25,4025.0,0.4025,21:55:00,18291.0,Below Opening Low,21:05:00,18381.5,Above Opening High,0.29335161069225496,0.535,0.12788419677840662,0.235,2024-04-11,06:06:00,Crossed Below Opening Range Low,18146.75,,
2024-04-08,Monday,Win,18313.75,18291.75,18376.0,18237.5,22.0,2200.0,0.22,20:54:00,18381.0,Above Opening High,21:51:00,18184.0,Above Opening High,0.13039934800325997,0.24,1.5770171149144256,2.9025,2024-04-12,03:41:00,Crossed Below Opening Range Low,18471.75,,
2024-04-09,Tuesday,Loss,18380.75,18366.75,18405.0,18160.75,14.0,1400.0,0.14,21:46:00,18177.0,Above Opening High,21:50:00,18499.0,Above Opening High,1.608996305668701,2.9725,0.10690555773576736,0.1975,2024-04-16,07:33:00,,,Crossed Above Opening Range High,17895.75
2024-04-10,Wednesday,Loss,18176.75,18147.75,18474.25,18053.5,29.0,2900.0,0.29,20:36:00,18496.25,Above Opening High,21:16:00,17863.0,Below Opening Low,0.12149848126898413,0.225,0.3778992175097987,0.6725,2024-04-17,06:47:00,,,Crossed Above Opening Range High,17941.5
2024-04-11,Thursday,Loss,18495.75,18473.0,18518.75,18088.0,22.75,2275.0,0.2275,21:11:00,17862.25,Below Opening Low,20:33:00,17894.5,Below Opening Low,0.37368472809519127,0.665,0.576101618705036,1.025,2024-04-18,05:30:00,Crossed Below Opening Range Low,17677.75,,
2024-04-14,Sunday,Win,18255.0,18192.5,18243.0,18194.5,62.5,6250.0,0.625,20:32:00,17899.0,Below Opening Low,21:16:00,17698.5,Above Opening High,0.6013938848920863,1.07,1.5010006671114078,2.7,2024-04-19,08:20:00,,,Crossed Above Opening Range High,17527.0
2024-04-15,Monday,Loss,17893.75,17863.25,18350.75,17795.75,30.5,3050.0,0.305,20:33:00,17698.75,Above Opening High,20:58:00,17427.0,Below Opening Low,1.5012382780977822,2.6975,1.427386616613558,2.4525,2024-04-22,01:53:00,,,Crossed Above Opening Range High,17275.0
2024-04-16,Tuesday,Win,17940.0,17903.5,17988.0,17792.0,36.5,3650.0,0.365,20:57:00,17435.75,Below Opening Low,20:38:00,17244.0,Below Opening Low,1.4783127446272935,2.54,0.2514425243085331,0.4325,2024-04-23,00:13:00,,,Crossed Above Opening Range High,17338.5
2024-04-17,Wednesday,Loss,17698.0,17678.5,17968.5,17620.25,19.5,1950.0,0.195,20:37:00,17245.0,Below Opening Low,21:46:00,17310.25,Below Opening Low,0.25725622429254535,0.4425,0.9432311864011429,1.6175,2024-04-24,05:48:00,Crossed Below Opening Range Low,17679.5,,
2024-04-18,Thursday,Loss,17517.25,17437.75,17770.75,17181.75,79.5,7950.0,0.795,21:27:00,17315.25,Below Opening Low,21:19:00,17722.0,Above Opening High,0.9723882555325538,1.6675,0.13325309491059148,0.2325,2024-04-25,01:04:00,Crossed Below Opening Range Low,17443.25,,
2024-04-21,Sunday,Win,17273.0,17249.25,17259.5,17200.75,23.75,2375.0,0.2375,20:53:00,17717.75,Above Opening High,20:49:00,17488.0,Above Opening High,0.15497104859046787,0.275,1.7328580887843226,3.075,2024-04-26,03:08:00,Crossed Below Opening Range Low,17742.25,,
2024-04-22,Monday,Win,17338.5,17316.0,17448.0,17148.5,22.5,2250.0,0.225,20:48:00,17488.0,Above Opening High,21:32:00,17774.0,Above Opening High,1.7279649349554664,3.075,0.07024247703071002,0.125,2024-04-29,09:41:00,Crossed Below Opening Range Low,17862.25,,
2024-04-23,Tuesday,Win,17717.25,17681.25,17745.25,17317.5,36.0,3600.0,0.36,21:21:00,17767.75,Above Opening High,21:52:00,17897.0,Above Opening High,0.10541702976976922,0.1875,0.08855030500660614,0.1575,2024-04-30,01:19:00,Crossed Below Opening Range Low,17896.25,,
2024-04-24,Wednesday,Win,17484.25,17447.25,17795.5,17456.25,37.0,3700.0,0.37,21:44:00,17896.0,Above Opening High,21:36:00,17913.75,Above Opening High,0.09350881355459101,0.1675,0.19678720464473629,0.3525,2024-05-01,02:31:00,Crossed Below Opening Range Low,17476.0,,
2024-04-25,Thursday,Win,17767.5,17742.25,17786.5,17308.25,25.25,2525.0,0.2525,21:26:00,17913.5,Above Opening High,22:40:00,17520.0,Above Opening High,0.19778260627332997,0.355,2.181180010028414,3.915,2024-05-02,09:49:00,Crossed Below Opening Range Low,17492.0,,
2024-04-28,Sunday,Win,17895.0,17862.5,17912.75,17877.5,32.5,3250.0,0.325,21:10:00,17517.75,Above Opening High,20:54:00,17541.25,Above Opening High,2.1983083493844737,3.9375,1.4069173436060631,2.52,2024-05-03,02:22:00,Crossed Below Opening Range Low,17734.75,,
2024-04-29,Monday,Loss,17913.25,17897.25,17949.0,17791.25,16.0,1600.0,0.16,20:54:00,17541.25,Above Opening High,20:38:00,17761.0,Above Opening High,1.4162674047742825,2.52,0.14612282747671168,0.26,2024-05-06,03:14:00,,,Crossed Above Opening Range High,18025.25
2024-04-30,Tuesday,Loss,17517.0,17481.25,17911.5,17499.0,35.75,3575.0,0.3575,20:36:00,17758.5,Above Opening High,20:33:00,18175.25,Below Opening Low,0.1602293810086018,0.285,1.0648502119969416,1.915,2024-05-07,00:00:00,,,Crossed Above Opening Range High,18188.25
2024-05-01,Wednesday,Loss,17540.0,17498.5,17793.25,17399.25,41.5,4150.0,0.415,20:36:00,17995.0,Below Opening Low,21:16:00,18213.5,Above Opening High,0.0,0.0,0.2928196730411613,0.5275,2024-05-07,22:42:00,Crossed Below Opening Range Low,18196.0,,
2024-05-02,Thursday,Loss,17757.5,17737.5,17787.0,17386.5,20.0,2000.0,0.2,20:32:00,18173.0,Below Opening Low,21:55:00,18174.0,Above Opening High,1.0523389170779174,1.8925,0.3750360611597269,0.6825,2024-05-09,00:56:00,Crossed Below Opening Range Low,18151.75,,
2024-05-05,Sunday,Loss,18025.25,17995.5,18014.5,17995.0,29.75,2975.0,0.2975,21:15:00,18213.25,Above Opening High,20:36:00,18225.25,Below Opening Low,0.29015260384589064,0.53,0.671131671614997,1.215,2024-05-10,02:54:00,,,Crossed Above Opening Range High,18247.0
2024-05-06,Monday,Loss,18188.25,18176.75,18198.25,17983.75,11.5,1150.0,0.115,20:51:00,18170.25,Above Opening High,20:58:00,18256.75,Above Opening High,0.39468815524400774,0.72,0.12334004851375241,0.225,2024-05-14,02:40:00,,,Crossed Above Opening Range High,18290.25
2024-05-07,Tuesday,Win,18212.25,18196.5,18266.25,18151.0,15.75,1575.0,0.1575,20:33:00,18226.5,Below Opening Low,20:44:00,18279.25,Below Opening Low,0.6780363184423117,1.2275,0.24266520427748836,0.4425,2024-05-14,22:39:00,,,Crossed Above Opening Range High,18429.0
2024-05-08,Wednesday,Loss,18169.75,18153.25,18242.25,18072.5,16.5,1650.0,0.165,20:57:00,18256.75,Above Opening High,20:37:00,18409.0,Below Opening Low,0.12309038937593172,0.225,1.3404530566183148,2.435,2024-05-15,23:38:00,,,Crossed Above Opening Range High,18737.5
2024-05-09,Thursday,Loss,18244.75,18227.0,18239.25,18103.75,17.75,1775.0,0.1775,20:43:00,18281.25,Below Opening Low,21:06:00,18660.0,Above Opening High,0.25363312311488895,0.4625,0.5494580407662417,1.0075,2024-05-17,04:03:00,Crossed Below Opening Range Low,18642.5,,
2024-05-12,Sunday,Loss,18254.5,18238.0,18279.25,18242.0,16.5,1650.0,0.165,20:36:00,18414.5,Below Opening Low,22:42:00,18672.75,Above Opening High,1.3707302303817677,2.49,0.03525280327579895,0.065,2024-05-20,04:38:00,Crossed Below Opening Range Low,18657.0,,
2024-05-13,Monday,Loss,18289.75,18282.25,18336.25,18235.0,7.5,750.0,0.075,22:15:00,18715.5,Below Opening Low,20:41:00,18758.25,Above Opening High,1.753384439732507,3.225,0.1934494029751184,0.3625,2024-05-20,21:31:00,Crossed Below Opening Range Low,18745.0,,
2024-05-14,Tuesday,Loss,18426.25,18414.75,18438.25,18165.5,11.5,1150.0,0.115,21:05:00,18657.25,Above Opening High,22:01:00,18822.0,Above Opening High,0.5516837013445625,1.035,0.010660554615353864,0.02,2024-05-21,22:00:00,,,Crossed Above Opening Range High,18821.0
