Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,23:18:00,Above High,38840.0,38839.0,38809.0,38846.0,38500.0,,,,,
2024-03-12,Tuesday,20:41:00,Below Low,39015.0,39038.0,39023.0,39094.0,38653.0,04:18:00,Crossed Below Low,38807.0,,
2024-03-13,Wednesday,,,,,,,,03:03:00,,,Crossed Above High,39039.0
2024-03-14,Thursday,20:32:00,Above High,38896.0,38891.0,38867.0,39244.0,38706.0,,,,,
2024-03-17,Sunday,21:05:00,Above High,39133.0,39132.0,39101.0,39175.0,39111.0,,,,,
2024-03-18,Monday,20:31:00,Below Low,39210.0,39230.0,39211.0,39337.0,39089.0,04:29:00,Crossed Below Low,39099.0,,
2024-03-19,Tuesday,21:33:00,Below Low,39524.0,39546.0,39525.0,39556.0,39115.0,02:00:00,,,Crossed Above High,39230.0
2024-03-20,Wednesday,22:18:00,Above High,40026.0,40025.0,40002.0,40054.0,39426.0,03:08:00,,,Crossed Above High,39553.0
2024-03-21,Thursday,21:37:00,Below Low,40236.0,40256.0,40237.0,40316.0,40010.0,,,,,
2024-03-24,Sunday,20:54:00,Below Low,39828.0,39847.0,39829.0,39843.0,39797.0,,,,,
2024-03-25,Monday,20:35:00,Above High,39741.0,39736.0,39708.0,39853.0,39681.0,04:12:00,,,Crossed Above High,39850.0
2024-03-26,Tuesday,20:46:00,Above High,39778.0,39776.0,39756.0,39822.0,39657.0,09:22:00,Crossed Below Low,39707.0,,
2024-03-27,Wednesday,20:33:00,Above High,40132.0,40131.0,40102.0,40162.0,39782.0,,,,,
2024-03-28,Thursday,,,,,,,,03:21:00,Crossed Below Low,40102.0,,
2024-03-31,Sunday,21:33:00,Below Low,40301.0,40358.0,40302.0,40320.0,40284.0,,,,,
2024-04-01,Monday,21:29:00,Above High,39784.0,39783.0,39741.0,40328.0,39761.0,,,,,
2024-04-02,Tuesday,21:06:00,Below Low,39441.0,39500.0,39445.0,39805.0,39368.0,03:27:00,Crossed Below Low,39740.0,,
2024-04-03,Wednesday,,,,,,,,07:21:00,,,Crossed Above High,39501.0
2024-04-04,Thursday,20:36:00,Below Low,38896.0,38956.0,38913.0,39759.0,38864.0,,,,,
2024-04-07,Sunday,20:32:00,Below Low,39228.0,39298.0,39230.0,39267.0,39180.0,,,,,
2024-04-08,Monday,21:18:00,Below Low,39211.0,39238.0,39213.0,39331.0,39117.0,09:45:00,,,Crossed Above High,39319.0
2024-04-09,Tuesday,21:30:00,Below Low,39210.0,39239.0,39211.0,39307.0,38873.0,07:58:00,,,Crossed Above High,39239.0
2024-04-10,Wednesday,21:50:00,Above High,38726.0,38717.0,38661.0,39345.0,38590.0,02:30:00,,,Crossed Above High,39239.0
2024-04-11,Thursday,20:34:00,Above High,38774.0,38772.0,38740.0,38880.0,38473.0,04:59:00,Crossed Below Low,38657.0,,
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,21:06:00,Below Low,37972.0,38022.0,37978.0,38637.0,37838.0,,,,,
2024-04-16,Tuesday,20:31:00,Below Low,38102.0,38155.0,38109.0,38283.0,37884.0,06:06:00,,,Crossed Above High,38037.0
