Date,Day of the Week,Cross Time,Condition,Cross Price,19:30-20:30 High_y,19:30-20:30 Low_y,20:30-16:00 High_y,20:30-16:00 Low_y
2024-03-10,Sunday,21:41:00,Crossed Above High,18049.0,18048.0,18012.0,18055.5,17990.5
2024-03-11,Monday,20:34:00,Crossed Above High,18060.25,18060.0,18035.75,18065.5,17890.0
2024-03-12,Tuesday,19:23:00,Crossed Above High,18487.5,18486.75,18471.75,18491.0,17930.0
2024-03-13,Wednesday,09:47:00,Crossed Below Low,18353.25,18377.5,18353.5,18504.25,18281.5
2024-03-14,Thursday,10:00:00,Crossed Below Low,18210.75,18252.75,18223.75,18428.25,18161.25
2024-03-15,Friday,,,,,,,
2024-03-17,Sunday,19:11:00,Crossed Below Low,18063.75,18088.75,18063.75,18127.0,18071.75
2024-03-18,Monday,06:42:00,Crossed Above High,18197.0,18196.5,18177.25,18380.75,18122.75
2024-03-19,Tuesday,14:32:00,Crossed Above High,18284.25,18281.5,18246.75,18289.5,18053.25
2024-03-20,Wednesday,19:23:00,Crossed Above High,18586.25,18585.25,18570.0,18596.75,18234.0
2024-03-21,Thursday,14:35:00,Crossed Below Low,18573.0,18595.5,18584.0,18708.5,18532.0
2024-03-22,Friday,,,,,,,
2024-03-24,Sunday,21:39:00,Crossed Above High,18598.0,18598.0,18571.25,18601.25,18565.5
2024-03-25,Monday,02:24:00,Crossed Below Low,18532.25,18547.5,18532.25,18576.25,18415.0
2024-03-26,Tuesday,15:42:00,Crossed Below Low,18480.75,18493.0,18483.0,18618.75,18439.25
2024-03-27,Wednesday,03:50:00,Crossed Below Low,18474.75,18503.5,18475.0,18572.25,18378.5
2024-03-28,Thursday,,,,,,,
2024-03-31,Sunday,,,,,,,
2024-04-01,Monday,11:13:00,Crossed Below Low,18457.25,18481.25,18458.0,18607.25,18414.5
2024-04-02,Tuesday,09:11:00,Crossed Below Low,18295.0,18333.25,18300.5,18514.0,18201.0
2024-04-03,Wednesday,,,,,,,
2024-04-04,Thursday,08:39:00,Crossed Above High,18485.75,18485.25,18416.5,18454.5,18232.75
2024-04-04,Thursday,15:41:00,Crossed Below Low,18081.5,18110.0,18084.0,18568.25,18054.25
2024-04-05,Friday,,,,,,,
2024-04-07,Sunday,23:35:00,Crossed Below Low,18276.0,18325.25,18285.0,18334.0,18270.5
2024-04-08,Monday,03:16:00,Crossed Above High,18316.5,18313.75,18291.75,18377.5,18237.75
2024-04-09,Tuesday,09:17:00,Crossed Above High,18388.25,18380.5,18366.75,18405.0,18160.25
2024-04-10,Wednesday,08:31:00,Crossed Below Low,18115.75,18176.25,18148.0,18470.0,18054.0
2024-04-11,Thursday,14:26:00,Crossed Above High,18497.25,18495.75,18473.0,18519.25,18085.0
2024-04-12,Friday,,,,,,,
2024-04-14,Sunday,,,,,,,
2024-04-15,Monday,01:02:00,Crossed Above High,18261.25,18255.0,18192.25,18243.0,18194.5
2024-04-15,Monday,15:04:00,Crossed Below Low,17863.0,17894.0,17863.0,18351.0,17795.5
2024-04-16,Tuesday,14:07:00,Crossed Above High,17941.75,17940.0,17903.25,17988.0,17791.25
2024-04-17,Wednesday,12:22:00,Crossed Below Low,17676.25,17698.25,17678.75,17968.25,17616.0
2024-04-18,Thursday,20:57:00,Crossed Below Low,17435.75,17517.25,17437.5,17771.0,17180.25
2024-04-19,Friday,,,,,,,
2024-04-21,Sunday,,,,,,,
2024-04-22,Monday,01:53:00,Crossed Above High,17275.25,17273.0,17249.0,17259.75,17200.0
2024-04-22,Monday,13:29:00,Crossed Above High,17344.0,17338.0,17316.0,17448.0,17148.75
2024-04-23,Tuesday,20:53:00,Crossed Above High,17717.75,17717.5,17681.25,17745.5,17317.5
2024-04-24,Wednesday,,,,,,,
2024-04-25,Thursday,01:04:00,Crossed Below Low,17442.75,17484.5,17447.0,17795.75,17456.0
2024-04-25,Thursday,16:04:00,Crossed Above High,17782.25,17767.25,17742.0,17786.75,17308.0
2024-04-26,Friday,,,,,,,
2024-04-28,Sunday,21:39:00,Crossed Above High,17895.0,17894.75,17862.5,17913.0,17877.5
2024-04-29,Monday,02:51:00,Crossed Below Low,17890.0,17913.0,17897.0,17949.0,17791.25
2024-04-30,Tuesday,16:17:00,Crossed Below Low,17479.0,17517.25,17480.75,17911.5,17498.75
2024-05-01,Wednesday,14:27:00,Crossed Above High,17542.0,17540.5,17498.5,17791.75,17399.0
2024-05-02,Thursday,18:15:00,Crossed Above High,17761.5,17757.5,17737.25,17786.75,17386.0
2024-05-03,Friday,,,,,,,
2024-05-05,Sunday,20:36:00,Crossed Below Low,17995.0,18025.5,17995.75,18014.75,17995.0
2024-05-06,Monday,15:57:00,Crossed Above High,18192.25,18188.5,18177.25,18198.25,17983.75
2024-05-07,Tuesday,09:31:00,Crossed Above High,18226.5,18212.5,18196.5,18267.75,18150.75
2024-05-08,Wednesday,07:38:00,Crossed Below Low,18148.75,18170.0,18153.25,18242.25,18072.5
2024-05-09,Thursday,,,,,,,
2024-05-10,Friday,02:54:00,Crossed Above High,18247.0,18245.5,18227.25,18239.0,18104.25
2024-05-12,Sunday,20:57:00,Crossed Above High,18256.0,18254.5,18238.0,18279.5,18240.75
2024-05-13,Monday,01:07:00,Crossed Above High,18290.25,18290.0,18282.25,18336.75,18234.75
2024-05-14,Tuesday,15:22:00,Crossed Above High,18428.0,18426.0,18414.0,18438.75,18167.5
2024-05-15,Wednesday,23:38:00,Crossed Above High,18737.5,18735.5,18716.75,18738.75,18392.75
2024-05-16,Thursday,16:01:00,Crossed Below Low,18642.25,18657.0,18645.25,18760.75,18638.0
2024-05-17,Friday,,,,,,,
2024-05-19,Sunday,20:43:00,Crossed Above High,18671.75,18671.25,18658.5,18679.25,18659.5
2024-05-20,Monday,10:41:00,Crossed Above High,18757.25,18756.25,18745.75,18794.5,18635.25
2024-05-21,Tuesday,22:00:00,Crossed Above High,18821.5,18817.0,18808.25,18824.0,18678.0
2024-05-22,Wednesday,21:18:00,Crossed Above High,18877.75,18877.0,18863.0,18965.75,18684.0
2024-05-23,Thursday,14:05:00,Crossed Below Low,18692.0,18715.75,18693.5,19022.5,18621.5
2024-05-24,Friday,,,,,,,
2024-05-26,Sunday,,,,,,,
2024-05-27,Monday,11:06:00,Crossed Above High,18917.25,18917.0,18885.0,18957.25,18848.0
2024-05-28,Tuesday,04:13:00,Crossed Above High,18952.75,18947.75,18920.0,18980.5,18819.5
2024-05-29,Wednesday,22:23:00,Crossed Below Low,18702.5,18731.75,18704.0,18900.5,18677.0
2024-05-30,Thursday,20:35:00,Crossed Below Low,18510.25,18579.0,18512.25,18787.0,18502.5
2024-05-31,Friday,,,,,,,
2024-06-02,Sunday,22:37:00,Crossed Above High,18646.25,18645.0,18580.0,18653.75,18616.25
2024-06-03,Monday,02:40:00,Crossed Above High,18673.5,18672.25,18649.0,18755.5,18441.5
2024-06-04,Tuesday,14:45:00,Crossed Above High,18745.5,18744.5,18726.0,18765.75,18511.25
2024-06-05,Wednesday,19:03:00,Crossed Above High,19103.0,19096.75,19070.75,19111.25,18703.0
2024-06-06,Thursday,08:40:00,Crossed Below Low,19065.75,19078.75,19067.5,19124.25,19017.75
2024-06-07,Friday,,,,,,,
2024-06-09,Sunday,,,,,,,
2024-06-10,Monday,02:29:00,Crossed Below Low,19014.75,19040.25,19015.0,19050.75,19018.0
2024-06-10,Monday,11:29:00,Crossed Above High,19089.75,19089.25,19075.0,19129.75,18973.25
2024-06-11,Tuesday,19:04:00,Crossed Above High,19267.75,19266.25,19248.25,19266.25,18994.75
2024-06-12,Wednesday,20:33:00,Crossed Above High,19623.25,19623.0,19593.5,19639.0,19240.25
2024-06-13,Thursday,05:36:00,Crossed Below Low,19609.25,19624.5,19610.5,19690.0,19500.0
2024-06-14,Friday,,,,,,,
2024-06-16,Sunday,18:47:00,Crossed Above High,19718.75,19718.5,19703.75,19714.0,19684.5
2024-06-17,Monday,13:52:00,Crossed Above High,20214.0,20209.25,19912.0,20271.5,19640.5
2024-06-18,Tuesday,04:51:00,Crossed Above High,20226.0,20225.75,20209.25,20270.0,19889.5
2024-06-19,Wednesday,07:03:00,Crossed Above High,20245.75,20245.5,20232.0,20292.0,20213.75
2024-06-20,Thursday,12:30:00,Crossed Below Low,20039.0,20074.25,20048.25,20371.5,19958.5
2024-06-21,Friday,,,,,,,
2024-06-23,Sunday,21:07:00,Crossed Below Low,19997.5,20024.25,20000.25,20018.75,19917.25
2024-06-24,Monday,15:56:00,Crossed Below Low,19754.25,19775.75,19758.0,20030.0,19740.5
2024-06-25,Tuesday,18:09:00,Crossed Above High,19984.25,19983.75,19963.5,20009.0,19725.25
2024-06-26,Wednesday,09:07:00,Crossed Below Low,19902.25,19921.0,19906.25,20069.0,19873.5
2024-06-27,Thursday,10:14:00,Crossed Above High,20110.75,20103.0,20090.5,20140.75,19911.5
2024-06-28,Friday,,,,,,,
2024-06-30,Sunday,,,,,,,
2024-07-01,Monday,04:41:00,Crossed Below Low,19926.5,19976.75,19932.0,20005.25,19970.5
2024-07-01,Monday,14:12:00,Crossed Above High,20034.25,20026.0,19981.25,20074.0,19811.5
2024-07-02,Tuesday,15:58:00,Crossed Above High,20254.0,20252.75,20233.0,20259.5,19909.75
2024-07-03,Wednesday,,,,,,,
2024-07-04,Thursday,,,,,,,
2024-07-05,Friday,,,,,,,
2024-07-07,Sunday,20:42:00,Crossed Below Low,20584.0,20602.5,20584.0,20602.75,20579.25
2024-07-08,Monday,,,,,,,
2024-07-09,Tuesday,09:34:00,Crossed Above High,20763.0,20748.75,20718.25,20738.75,20583.0
2024-07-09,Tuesday,10:31:00,Crossed Below Low,20688.25,20708.25,20694.75,20771.75,20616.0
2024-07-10,Wednesday,14:46:00,Crossed Above High,20890.75,20884.5,20868.0,20917.5,20696.0
2024-07-11,Thursday,13:53:00,Crossed Below Low,20399.25,20455.0,20403.5,20983.5,20376.25
2024-07-12,Friday,,,,,,,
2024-07-14,Sunday,20:31:00,Crossed Above High,20565.25,20565.25,20541.5,20581.25,20559.5
2024-07-15,Monday,07:17:00,Crossed Above High,20644.5,20643.5,20628.0,20796.5,20506.25
2024-07-16,Tuesday,04:05:00,Crossed Below Low,20554.5,20572.0,20557.5,20684.0,20464.0
2024-07-17,Wednesday,12:10:00,Crossed Below Low,20053.0,20068.0,20053.0,20535.5,19967.25
2024-07-18,Thursday,10:36:00,Crossed Below Low,19934.25,19964.5,19935.25,20162.75,19758.75
2024-07-19,Friday,,,,,,,
2024-07-21,Sunday,19:19:00,Crossed Above High,19838.25,19837.25,19766.5,19813.0,19718.75
2024-07-22,Monday,09:46:00,Crossed Above High,19997.75,19976.75,19947.5,20044.25,19741.0
2024-07-23,Tuesday,,,,,,,
2024-07-24,Wednesday,00:13:00,Crossed Below Low,19770.0,19828.5,19792.0,20085.0,19793.0
2024-07-24,Wednesday,15:54:00,Crossed Below Low,19181.75,19302.0,19203.25,19798.5,19166.5
2024-07-25,Thursday,10:00:00,Crossed Below Low,19007.5,19063.75,19015.25,19390.5,18883.5
2024-07-26,Friday,,,,,,,
2024-07-28,Sunday,20:40:00,Crossed Above High,19295.25,19293.5,19235.5,19330.25,19278.25
2024-07-29,Monday,21:36:00,Crossed Below Low,19103.5,19174.0,19122.5,19377.25,19076.25
2024-07-30,Tuesday,11:04:00,Crossed Below Low,19013.0,19076.0,19014.25,19319.25,18802.5
2024-07-31,Wednesday,,,,,,,
2024-08-01,Thursday,16:24:00,Crossed Below Low,18858.0,18952.5,18866.25,19693.0,18685.75
2024-08-02,Friday,,,,,,,
2024-08-04,Sunday,21:03:00,Crossed Below Low,18117.5,18296.75,18168.0,18246.75,18023.25
2024-08-05,Monday,20:48:00,Crossed Above High,18318.5,18303.0,18211.0,18435.5,17346.0
2024-08-06,Tuesday,05:35:00,Crossed Below Low,18042.5,18166.25,18045.25,18483.0,17961.25
2024-08-07,Wednesday,,,,,,,
2024-08-08,Thursday,19:13:00,Crossed Above High,18614.5,18608.25,18513.75,18595.0,17875.25
2024-08-09,Friday,,,,,,,
2024-08-11,Sunday,18:14:00,Crossed Below Low,18555.5,18643.25,18582.5,18666.75,18583.25
2024-08-12,Monday,03:50:00,Crossed Above High,18668.5,18668.0,18632.25,18765.5,18524.0
2024-08-13,Tuesday,21:32:00,Crossed Above High,19137.0,19124.0,19092.25,19153.25,18646.25
2024-08-14,Wednesday,09:05:00,Crossed Above High,19150.5,19149.25,19100.25,19223.75,18925.5
