Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-04-28,Sunday,20:45:00,Above High,927.0999755859376,926.2999877929688,922.7000122070312,928.7999877929688,923.2000122070312,,,,,
2024-04-29,Monday,23:00:00,Below Low,957.7999877929688,963.0999755859376,958.0,965.5,922.7999877929688,,,,,
2024-04-30,Tuesday,,,,,,,,,,,,
2024-05-01,Wednesday,,,,,,,,,,,,
2024-05-02,Thursday,21:00:00,Above High,966.5999755859376,966.2000122070312,962.9000244140624,971.2000122070312,951.9000244140624,,,,,
2024-05-05,Sunday,,,,,,,,,,,,
2024-05-06,Monday,20:45:00,Above High,970.5,968.4000244140624,965.7000122070312,978.5999755859376,960.7999877929688,,,,,
2024-05-07,Tuesday,21:30:00,Below Low,986.2999877929688,991.5,988.0,992.7999877929688,961.0999755859376,03:45:00,Crossed Below Low,964.5999755859376,,
2024-05-08,Wednesday,21:15:00,Above High,986.0999755859376,986.0,983.9000244140624,991.7000122070312,972.4000244140624,,,,,
2024-05-09,Thursday,21:15:00,Above High,996.5999755859376,995.9000244140624,992.5,997.9000244140624,982.0,,,,,
2024-05-12,Sunday,21:15:00,Below Low,1001.4000244140624,1005.2000122070312,1002.5999755859376,1006.7999877929688,1001.0,22:45:00,,,Crossed Above High,1005.5999755859376
2024-05-13,Monday,21:00:00,Above High,1013.0999755859376,1012.7000122070312,1010.2999877929688,1025.9000244140625,1003.9000244140624,22:45:00,Crossed Below Low,1010.2999877929688,,
2024-05-14,Tuesday,22:00:00,Above High,1063.5,1061.699951171875,1048.199951171875,1069.5,1009.9000244140624,,,,,
2024-05-15,Wednesday,,,,,,,,,,,,
2024-05-16,Thursday,21:15:00,Below Low,1068.9000244140625,1073.199951171875,1069.0999755859375,1091.0999755859375,1058.0999755859375,,,,,
2024-05-19,Sunday,21:00:00,Above High,1099.9000244140625,1098.0999755859375,1091.4000244140625,1105.0,1093.300048828125,,,,,
2024-05-20,Monday,22:00:00,Below Low,1044.0999755859375,1059.4000244140625,1048.4000244140625,1104.5999755859375,1040.5,02:15:00,Crossed Below Low,1088.4000244140625,,
2024-05-21,Tuesday,20:45:00,Below Low,1058.5,1062.300048828125,1059.300048828125,1070.9000244140625,1039.5999755859375,08:30:00,,,Crossed Above High,1060.800048828125
2024-05-21,Tuesday,20:45:00,Below Low,1058.5,1062.300048828125,1059.300048828125,1070.9000244140625,1039.5999755859375,21:45:00,,,Crossed Above High,1065.800048828125
2024-05-22,Wednesday,20:45:00,Below Low,1042.4000244140625,1047.300048828125,1043.199951171875,1067.5,1035.800048828125,,,,,
2024-05-23,Thursday,21:15:00,Above High,1029.9000244140625,1029.5,1024.5,1053.0,1024.5,09:00:00,,,Crossed Above High,1050.5999755859375
2024-05-26,Sunday,20:45:00,Above High,1040.699951171875,1040.300048828125,1038.0999755859375,1050.800048828125,1038.0999755859375,,,,,
2024-05-27,Monday,20:45:00,Below Low,1063.5999755859375,1066.300048828125,1064.199951171875,1067.699951171875,1047.4000244140625,22:00:00,,,Crossed Above High,1066.5999755859375
2024-05-28,Tuesday,20:45:00,Below Low,1065.5999755859375,1071.699951171875,1066.4000244140625,1075.9000244140625,1052.199951171875,,,,,
2024-05-29,Wednesday,21:00:00,Above High,1048.300048828125,1047.0999755859375,1042.699951171875,1071.4000244140625,1034.0999755859375,21:30:00,Crossed Below Low,1041.300048828125,,
2024-05-30,Thursday,21:00:00,Below Low,1030.0999755859375,1035.699951171875,1032.699951171875,1049.699951171875,1028.199951171875,,,,,
2024-06-02,Sunday,20:45:00,Above High,1049.9000244140625,1049.0,1044.699951171875,1055.800048828125,1045.199951171875,,,,,
2024-06-03,Monday,21:30:00,Below Low,1023.5,1028.9000244140625,1024.800048828125,1047.4000244140625,1020.5999755859376,01:30:00,Crossed Below Low,1040.699951171875,,
2024-06-04,Tuesday,21:00:00,Below Low,994.4000244140624,999.7000122070312,995.0,1029.9000244140625,992.5,,,,,
2024-06-05,Wednesday,21:15:00,Above High,1006.2999877929688,1004.5,1000.7000122070312,1009.7000122070312,988.7999877929688,04:00:00,,,Crossed Above High,1005.5
2024-06-06,Thursday,21:00:00,Below Low,1011.2000122070312,1015.5999755859376,1012.5,1016.0,997.2000122070312,03:30:00,Crossed Below Low,999.0,,
2024-06-09,Sunday,21:30:00,Above High,976.5,975.7999877929688,972.5999755859376,978.2999877929688,972.5999755859376,,,,,
2024-06-10,Monday,20:45:00,Below Low,972.5999755859376,976.4000244140624,972.9000244140624,981.7000122070312,965.0,05:15:00,Crossed Below Low,972.0,,
2024-06-11,Tuesday,20:45:00,Below Low,958.0999755859376,962.2000122070312,958.7999877929688,967.5999755859376,954.0,21:15:00,,,Crossed Above High,962.2000122070312
2024-06-12,Wednesday,21:00:00,Below Low,955.0999755859376,960.9000244140624,957.0999755859376,978.2999877929688,951.0,,,,,
2024-06-13,Thursday,20:45:00,Above High,955.2000122070312,954.9000244140624,952.4000244140624,962.9000244140624,945.7000122070312,09:00:00,,,Crossed Above High,960.9000244140624
2024-06-16,Sunday,,,,,,,,,,,,
2024-06-17,Monday,,,,,,,,,,,,
2024-06-18,Tuesday,21:00:00,Below Low,975.2999877929688,978.9000244140624,975.7999877929688,981.0999755859376,962.0999755859376,21:45:00,,,Crossed Above High,979.4000244140624
2024-06-19,Wednesday,20:45:00,Above High,982.7999877929688,982.4000244140624,979.4000244140624,988.0,976.7000122070312,,,,,
2024-06-20,Thursday,21:30:00,Below Low,983.0,987.5999755859376,984.9000244140624,992.7999877929688,972.5,08:30:00,Crossed Below Low,977.9000244140624,,
2024-06-23,Sunday,,,,,,,,,,,,
2024-06-24,Monday,21:00:00,Above High,1003.4000244140624,1001.9000244140624,999.4000244140624,1012.2999877929688,991.7000122070312,,,,,
2024-06-25,Tuesday,21:00:00,Above High,991.7999877929688,988.7000122070312,985.4000244140624,1008.4000244140624,983.5,06:30:00,Crossed Below Low,999.2999877929688,,
2024-06-26,Wednesday,22:15:00,Below Low,1010.5999755859376,1015.7000122070312,1012.0,1024.199951171875,990.2000122070312,,,,,
2024-06-27,Thursday,21:45:00,Above High,1009.5,1009.4000244140624,993.2999877929688,1024.0,986.4000244140624,03:30:00,,,Crossed Above High,1023.5999755859376
2024-06-30,Sunday,,,,,,,,,,,,
2024-07-01,Monday,,,,,,,,,,,,
2024-07-02,Tuesday,20:45:00,Below Low,1009.2999877929688,1015.0,1010.7999877929688,1018.4000244140624,987.5,,,,,
2024-07-03,Wednesday,,,,,,,,09:30:00,,,Crossed Above High,1023.5
2024-07-04,Thursday,,,,,,,,,,,,
2024-07-07,Sunday,21:45:00,Above High,1040.4000244140625,1040.199951171875,1037.0,1040.699951171875,1035.800048828125,,,,,
