Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-03-11,Monday,,,,,,,,,,,,
2024-03-12,Tuesday,21:00:00,Below Low,5175.0,5181.0,5175.25,5183.0,5112.75,,,,,
2024-03-13,Wednesday,21:45:00,Above High,5174.75,5174.5,5170.0,5183.75,5153.0,03:00:00,Crossed Above High,5182.5,,
2024-03-14,Thursday,,,,,,,,09:45:00,,,Crossed Below Low,5145.75
2024-03-17,Sunday,21:00:00,Above High,5188.25,5187.25,5181.75,5194.75,5183.25,,,,,
2024-03-18,Monday,20:45:00,Below Low,5205.25,5210.75,5206.75,5240.25,5192.0,,,,,
2024-03-19,Tuesday,21:00:00,Below Low,5236.0,5240.75,5236.25,5244.75,5186.0,00:00:00,Crossed Above High,5211.0,,
2024-03-20,Wednesday,22:30:00,Above High,5304.75,5304.0,5299.5,5307.0,5233.0,03:15:00,Crossed Above High,5240.75,,
2024-03-21,Thursday,21:30:00,Below Low,5307.5,5311.0,5308.25,5322.75,5299.0,,,,,
2024-03-24,Sunday,21:00:00,Below Low,5290.75,5294.75,5291.0,5295.0,5287.5,,,,,
2024-03-25,Monday,21:00:00,Above High,5286.75,5286.25,5282.0,5293.0,5272.5,,,,,
2024-03-26,Tuesday,21:00:00,Above High,5276.5,5276.25,5273.75,5300.5,5263.0,15:15:00,,,Crossed Below Low,5280.75
2024-03-27,Wednesday,,,,,,,,11:15:00,,,Crossed Below Low,5272.75
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,21:30:00,Below Low,5327.0,5333.5,5327.25,5330.0,5325.0,,,,,
2024-04-01,Monday,21:15:00,Above High,5291.25,5291.0,5286.5,5330.5,5282.25,,,,,
2024-04-02,Tuesday,21:45:00,Below Low,5251.5,5260.25,5252.75,5296.0,5235.0,01:30:00,,,Crossed Below Low,5286.5
2024-04-03,Wednesday,,,,,,,,10:00:00,Crossed Above High,5273.0,,
2024-04-04,Thursday,,,,,,,,,,,,
2024-04-07,Sunday,23:15:00,Below Low,5248.0,5260.0,5249.25,5258.0,5243.75,,,,,
2024-04-08,Monday,21:45:00,Below Low,5252.25,5257.5,5253.25,5268.75,5236.5,08:45:00,Crossed Above High,5265.0,,
2024-04-09,Tuesday,,,,,,,,01:00:00,Crossed Above High,5258.25,,
2024-04-10,Wednesday,21:45:00,Above High,5202.25,5202.0,5194.25,5285.0,5176.5,,,,,
2024-04-11,Thursday,21:45:00,Above High,5247.25,5246.5,5240.5,5257.5,5173.5,06:00:00,,,Crossed Below Low,5191.25
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,21:00:00,Below Low,5097.25,5107.75,5100.0,5213.25,5081.25,,,,,
2024-04-16,Tuesday,,,,,,,,07:00:00,Crossed Above High,5110.5,,
2024-04-17,Wednesday,21:45:00,Above High,5070.25,5069.0,5063.75,5120.5,5048.0,,,,,
2024-04-18,Thursday,20:45:00,Below Low,5024.25,5046.0,5027.75,5095.25,4963.5,09:30:00,,,Crossed Below Low,5057.0
2024-04-21,Sunday,,,,,,,,,,,,
2024-04-22,Monday,21:30:00,Below Low,5043.75,5049.0,5044.25,5076.75,5006.0,,,,,
2024-04-23,Tuesday,21:15:00,Above High,5120.25,5120.0,5113.75,5127.25,5042.5,00:00:00,Crossed Above High,5049.5,,
2024-04-24,Wednesday,20:45:00,Above High,5081.0,5080.5,5071.5,5128.75,5073.25,04:45:00,,,Crossed Below Low,5113.5
2024-04-25,Thursday,21:30:00,Above High,5124.0,5121.5,5116.75,5131.75,5022.25,01:00:00,,,Crossed Below Low,5071.0
2024-04-28,Sunday,21:15:00,Above High,5143.5,5143.0,5137.25,5147.0,5139.75,,,,,
2024-04-29,Monday,23:00:00,Below Low,5141.5,5145.5,5141.75,5154.25,5118.75,05:45:00,,,Crossed Below Low,5135.75
2024-04-30,Tuesday,21:15:00,Above High,5060.5,5060.0,5052.75,5145.5,5054.25,,,,,
2024-05-01,Wednesday,21:00:00,Above High,5071.25,5070.25,5060.0,5126.75,5037.75,03:45:00,,,Crossed Below Low,5051.0
2024-05-02,Thursday,21:15:00,Above High,5110.0,5109.5,5103.25,5112.25,5036.25,10:00:00,,,Crossed Below Low,5049.0
2024-05-05,Sunday,,,,,,,,,,,,
2024-05-06,Monday,23:00:00,Above High,5207.5,5207.25,5204.25,5208.75,5155.75,,,,,
2024-05-07,Tuesday,22:15:00,Below Low,5212.5,5216.0,5212.75,5226.75,5202.25,03:45:00,,,Crossed Below Low,5203.5
2024-05-08,Wednesday,,,,,,,,03:15:00,Crossed Above High,5216.75,,
2024-05-09,Thursday,21:45:00,Below Low,5241.25,5246.0,5242.25,5245.5,5195.0,,,,,
2024-05-12,Sunday,20:45:00,Above High,5245.0,5244.75,5241.25,5250.0,5242.25,,,,,
2024-05-13,Monday,20:45:00,Below Low,5243.75,5246.0,5244.0,5264.0,5233.25,13:00:00,,,Crossed Below Low,5240.25
2024-05-14,Tuesday,21:30:00,Above High,5273.75,5273.5,5269.0,5277.5,5216.75,03:45:00,Crossed Above High,5246.0,,
2024-05-15,Wednesday,21:15:00,Above High,5341.0,5340.75,5337.25,5343.25,5266.25,03:30:00,,,Crossed Below Low,5268.75
2024-05-16,Thursday,21:00:00,Above High,5321.75,5321.25,5318.5,5349.0,5317.0,02:00:00,,,Crossed Below Low,5336.5
2024-05-16,Thursday,21:00:00,Above High,5321.75,5321.25,5318.5,5349.0,5317.0,23:00:00,,,Crossed Below Low,5318.5
2024-05-19,Sunday,,,,,,,,,,,,
2024-05-20,Monday,,,,,,,,,,,,
2024-05-21,Tuesday,21:15:00,Below Low,5345.5,5348.0,5345.75,5349.25,5322.5,22:00:00,Crossed Above High,5348.0,,
2024-05-22,Wednesday,21:15:00,Above High,5342.25,5342.0,5339.0,5361.75,5306.75,,,,,
2024-05-23,Thursday,20:45:00,Above High,5292.5,5292.0,5286.5,5368.25,5273.5,09:45:00,,,Crossed Below Low,5326.5
2024-05-26,Sunday,21:45:00,Above High,5318.5,5318.0,5314.75,5319.0,5312.5,,,,,
2024-05-27,Monday,23:00:00,Above High,5329.0,5328.25,5323.25,5334.75,5316.25,,,,,
2024-05-28,Tuesday,22:30:00,Below Low,5312.0,5321.75,5312.75,5339.0,5296.75,09:45:00,,,Crossed Below Low,5319.75
2024-05-29,Wednesday,22:30:00,Below Low,5260.25,5267.5,5262.75,5310.25,5256.0,,,,,
2024-05-30,Thursday,23:45:00,Above High,5246.5,5246.0,5234.5,5277.0,5234.5,08:30:00,Crossed Above High,5271.5,,
2024-06-02,Sunday,,,,,,,,,,,,
2024-06-03,Monday,,,,,,,,,,,,
2024-06-04,Tuesday,22:00:00,Above High,5314.0,5312.25,5309.0,5314.75,5262.0,,,,,
2024-06-05,Wednesday,21:45:00,Above High,5370.75,5370.25,5364.25,5372.75,5305.5,02:45:00,,,Crossed Below Low,5308.25
