Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,23:30:00,Above High,38842.0,38839.0,38809.0,38846.0,38500.0,,,,,
2024-03-12,Tuesday,20:40:00,Below Low,39009.0,39038.0,39023.0,39094.0,38653.0,04:20:00,Crossed Below Low,38804.0,,
2024-03-13,Wednesday,,,,,,,,03:05:00,,,Crossed Above High,39039.0
2024-03-14,Thursday,21:30:00,Above High,38898.0,38896.0,38867.0,39244.0,38706.0,,,,,
2024-03-17,Sunday,21:05:00,Above High,39133.0,39132.0,39101.0,39175.0,39111.0,,,,,
2024-03-18,Monday,20:50:00,Below Low,39201.0,39230.0,39207.0,39337.0,39089.0,04:25:00,Crossed Below Low,39099.0,,
2024-03-19,Tuesday,21:30:00,Below Low,39524.0,39546.0,39525.0,39556.0,39115.0,03:05:00,,,Crossed Above High,39232.0
2024-03-20,Wednesday,22:15:00,Above High,40026.0,40025.0,40002.0,40054.0,39426.0,03:05:00,,,Crossed Above High,39552.0
2024-03-21,Thursday,21:35:00,Below Low,40234.0,40257.0,40237.0,40316.0,40010.0,,,,,
2024-03-24,Sunday,20:50:00,Below Low,39828.0,39847.0,39829.0,39843.0,39797.0,,,,,
2024-03-25,Monday,20:35:00,Above High,39738.0,39737.0,39708.0,39853.0,39681.0,04:10:00,,,Crossed Above High,39851.0
2024-03-26,Tuesday,20:45:00,Above High,39778.0,39776.0,39756.0,39822.0,39657.0,10:00:00,Crossed Below Low,39700.0,,
2024-03-27,Wednesday,,,,,,,,,,,,
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,21:35:00,Below Low,40300.0,40358.0,40302.0,40320.0,40284.0,,,,,
2024-04-01,Monday,21:25:00,Above High,39784.0,39783.0,39741.0,40328.0,39761.0,,,,,
2024-04-02,Tuesday,21:15:00,Below Low,39444.0,39500.0,39445.0,39805.0,39368.0,06:05:00,Crossed Below Low,39738.0,,
2024-04-03,Wednesday,,,,,,,,07:25:00,,,Crossed Above High,39500.0
2024-04-04,Thursday,20:35:00,Below Low,38895.0,38956.0,38913.0,39759.0,38864.0,,,,,
2024-04-07,Sunday,23:15:00,Below Low,39218.0,39298.0,39219.0,39267.0,39180.0,,,,,
2024-04-08,Monday,21:15:00,Below Low,39210.0,39238.0,39213.0,39331.0,39117.0,10:35:00,,,Crossed Above High,39305.0
2024-04-09,Tuesday,21:30:00,Below Low,39209.0,39239.0,39211.0,39307.0,38873.0,07:55:00,,,Crossed Above High,39243.0
2024-04-10,Wednesday,21:50:00,Above High,38722.0,38717.0,38661.0,39345.0,38590.0,03:15:00,,,Crossed Above High,39241.0
2024-04-11,Thursday,20:40:00,Above High,38777.0,38774.0,38740.0,38880.0,38473.0,04:55:00,Crossed Below Low,38657.0,,
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,21:05:00,Below Low,37953.0,38022.0,37978.0,38637.0,37838.0,,,,,
2024-04-16,Tuesday,,,,,,,,06:05:00,,,Crossed Above High,38026.0
2024-04-17,Wednesday,21:55:00,Above High,38024.0,38015.0,37984.0,38257.0,37855.0,,,,,
2024-04-18,Thursday,20:50:00,Below Low,37863.0,37985.0,37876.0,38317.0,37463.0,13:15:00,Crossed Below Low,37953.0,,
2024-04-21,Sunday,20:40:00,Below Low,38290.0,38356.0,38294.0,38342.0,38253.0,,,,,
2024-04-22,Monday,20:45:00,Above High,38503.0,38494.0,38468.0,38681.0,38208.0,02:45:00,,,Crossed Above High,38366.0
2024-04-22,Monday,20:45:00,Above High,38503.0,38494.0,38468.0,38681.0,38208.0,21:40:00,Crossed Below Low,38466.0,,
2024-04-23,Tuesday,20:55:00,Above High,38754.0,38752.0,38719.0,38793.0,38450.0,,,,,
2024-04-24,Wednesday,20:35:00,Above High,38634.0,38631.0,38572.0,38800.0,38520.0,03:15:00,Crossed Below Low,38719.0,,
2024-04-25,Thursday,21:35:00,Above High,38326.0,38323.0,38288.0,38627.0,37944.0,01:15:00,Crossed Below Low,38572.0,,
2024-04-28,Sunday,20:50:00,Above High,38546.0,38541.0,38490.0,38567.0,38519.0,,,,,
2024-04-29,Monday,22:15:00,Below Low,38519.0,38546.0,38520.0,38593.0,38393.0,04:55:00,Crossed Below Low,38487.0,,
2024-04-30,Tuesday,21:15:00,Above High,37991.0,37988.0,37954.0,38571.0,37926.0,02:50:00,,,Crossed Above High,38553.0
2024-05-01,Wednesday,20:35:00,Above High,38204.0,38199.0,38139.0,38527.0,37866.0,03:40:00,Crossed Below Low,37952.0,,
2024-05-02,Thursday,20:35:00,Above High,38623.0,38617.0,38596.0,38644.0,38038.0,10:00:00,Crossed Below Low,38134.0,,
2024-05-05,Sunday,,,,,,,,,,,,
2024-05-06,Monday,23:20:00,Above High,39013.0,39012.0,38987.0,39028.0,38834.0,,,,,
2024-05-07,Tuesday,22:05:00,Below Low,39011.0,39030.0,39012.0,39127.0,38978.0,,,,,
2024-05-08,Wednesday,21:20:00,Below Low,39179.0,39205.0,39181.0,39236.0,38936.0,03:00:00,,,Crossed Above High,39033.0
2024-05-09,Thursday,21:50:00,Below Low,39572.0,39598.0,39574.0,39595.0,39087.0,09:45:00,,,Crossed Above High,39224.0
2024-05-12,Sunday,23:20:00,Above High,39642.0,39638.0,39617.0,39653.0,39617.0,,,,,
2024-05-13,Monday,20:45:00,Below Low,39554.0,39571.0,39559.0,39780.0,39519.0,12:35:00,Crossed Below Low,39617.0,,
2024-05-14,Tuesday,21:30:00,Above High,39705.0,39703.0,39684.0,39736.0,39405.0,04:20:00,,,Crossed Above High,39572.0
2024-05-15,Wednesday,21:25:00,Above High,40113.0,40108.0,40079.0,40128.0,39652.0,02:40:00,Crossed Below Low,39682.0,,
2024-05-16,Thursday,20:50:00,Above High,40026.0,40024.0,40011.0,40190.0,39983.0,02:00:00,Crossed Below Low,40077.0,,
2024-05-16,Thursday,20:50:00,Above High,40026.0,40024.0,40011.0,40190.0,39983.0,22:10:00,Crossed Below Low,40010.0,,
2024-05-19,Sunday,20:45:00,Above High,40186.0,40185.0,40159.0,40194.0,40170.0,,,,,
2024-05-20,Monday,20:35:00,Above High,39935.0,39933.0,39916.0,40213.0,39922.0,02:00:00,Crossed Below Low,40157.0,,
2024-05-21,Tuesday,21:25:00,Below Low,40004.0,40021.0,40007.0,40034.0,39907.0,21:45:00,,,Crossed Above High,40023.0
2024-05-22,Wednesday,20:40:00,Below Low,39721.0,39744.0,39727.0,40017.0,39668.0,21:40:00,,,Crossed Above High,39751.0
2024-05-23,Thursday,20:35:00,Above High,39169.0,39164.0,39136.0,39882.0,39114.0,,,,,
