Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Loss,2190.60009765625,2187.699951171875,2192.199951171875,2180.89990234375,2.900146484375,29.00146484375,0.2900146484375,20:40:00,2187.300048828125,Below Opening Low,20:45:00,2187.300048828125,Below Opening Low,0.2934635595836814,0.6400146484375,0.2934635595836814,0.6400146484375,2024-03-13,21:35:00,Crossed Below Opening Range Low,2178.300048828125,,
2024-03-12,Tuesday,Win,2165.699951171875,2161.300048828125,2187.800048828125,2156.199951171875,4.39990234375,43.9990234375,0.439990234375,22:45:00,2166.0,Above Opening High,22:50:00,2166.10009765625,Above Opening High,0.9964369842574049,2.1800048828125,0.9918617189673425,2.1699951171875,2024-03-15,08:35:00,Crossed Below Opening Range Low,2163.699951171875,,
2024-03-13,Wednesday,Win,2180.39990234375,2178.300048828125,2185.60009765625,2162.300048828125,2.099853515625,20.99853515625,0.2099853515625,20:55:00,2180.800048828125,Above Opening High,21:05:00,2180.60009765625,Above Opening High,0.21962155077099327,0.4800048828125,0.22877012154976567,0.5,2024-03-17,21:05:00,Crossed Below Opening Range Low,2156.89990234375,,
2024-03-14,Thursday,Loss,2166.0,2164.39990234375,2176.699951171875,2158.89990234375,1.60009765625,16.0009765625,0.160009765625,20:40:00,2166.199951171875,Above Opening High,20:50:00,2166.800048828125,Above Opening High,0.48238159762658567,1.05,0.45481244846907665,0.989990234375,2024-03-19,21:15:00,,,Crossed Above Opening Range High,2161.699951171875
2024-03-17,Sunday,Loss,2160.199951171875,2157.60009765625,2160.800048828125,2149.300048828125,2.599853515625,25.99853515625,0.2599853515625,20:50:00,2160.300048828125,Above Opening High,21:10:00,2156.39990234375,Below Opening Low,0.023139577411207802,0.05,0.33033328778343873,0.7099853515625,2024-03-20,21:10:00,,,Crossed Above Opening Range High,2211.10009765625
2024-03-18,Monday,Loss,2166.199951171875,2164.0,2167.199951171875,2149.199951171875,2.199951171875,21.99951171875,0.2199951171875,21:05:00,2163.699951171875,Below Opening Low,21:30:00,2162.199951171875,Below Opening Low,0.674669659846852,1.45,0.6048762467592467,1.3,2024-03-21,21:45:00,Crossed Below Opening Range Low,2181.199951171875,,
2024-03-19,Tuesday,Loss,2161.10009765625,2158.300048828125,2165.5,2150.199951171875,2.800048828125,28.00048828125,0.2800048828125,20:35:00,2158.199951171875,Below Opening Low,21:20:00,2162.800048828125,Above Opening High,0.37205842161980984,0.8,0.12468026653775109,0.2699951171875,2024-03-25,04:40:00,Crossed Below Opening Range Low,2165.10009765625,,
2024-03-20,Wednesday,Loss,2208.199951171875,2198.10009765625,2214.699951171875,2152.300048828125,10.099853515625,100.99853515625,1.0099853515625,20:35:00,2196.199951171875,Below Opening Low,20:40:00,2196.300048828125,Below Opening Low,2.0396738999124415,4.389990234375,2.044324629549534,4.4,2024-03-25,21:25:00,Crossed Below Opening Range Low,2171.800048828125,,
2024-03-21,Thursday,Loss,2186.800048828125,2182.800048828125,2214.10009765625,2168.199951171875,4.0,40.0,0.4,20:35:00,2187.300048828125,Above Opening High,21:50:00,2178.699951171875,Below Opening Low,1.2104262520242135,2.6800048828125,0.48427267947888886,1.05,2024-03-26,23:10:00,,,Crossed Above Opening Range High,2179.199951171875
2024-03-24,Sunday,Win,2170.5,2165.199951171875,2179.5,2165.0,5.300048828125,53.00048828125,0.5300048828125,21:15:00,2172.199951171875,Above Opening High,21:20:00,2174.300048828125,Above Opening High,0.3349414465760496,0.7300048828125,0.23858459150607939,0.5199951171875,2024-04-01,10:00:00,Crossed Below Opening Range Low,2256.800048828125,,
2024-03-25,Monday,Win,2174.300048828125,2171.89990234375,2182.5,2164.39990234375,2.400146484375,24.00146484375,0.2400146484375,20:40:00,2174.699951171875,Above Opening High,20:45:00,2174.39990234375,Above Opening High,0.35739055340778925,0.7800048828125,0.37113849513172964,0.810009765625,2024-04-01,22:10:00,Crossed Below Opening Range Low,2268.199951171875,,
2024-03-26,Tuesday,Loss,2178.699951171875,2175.60009765625,2200.60009765625,2169.89990234375,3.099853515625,30.99853515625,0.3099853515625,21:35:00,2175.0,Below Opening Low,21:40:00,2173.60009765625,Below Opening Low,0.2350383836019942,0.510009765625,0.17052377893115478,0.37001953125,2024-04-03,03:05:00,Crossed Below Opening Range Low,2298.0,,
2024-03-27,Wednesday,Win,2212.60009765625,2187.39990234375,2218.300048828125,2174.5,25.2001953125,252.001953125,2.52001953125,22:20:00,2213.199951171875,Above Opening High,22:30:00,2215.0,Above Opening High,0.2299101809488874,0.510009765625,0.14876476380498377,0.3300048828125,2024-04-04,01:50:00,Crossed Below Opening Range Low,2316.10009765625,,
2024-03-31,Sunday,Loss,2274.0,2260.300048828125,2285.89990234375,2269.60009765625,13.699951171875,136.99951171875,1.3699951171875,20:35:00,2274.300048828125,Above Opening High,21:05:00,2276.5,Above Opening High,0.5074523824832218,1.1599853515625,0.41121233410580277,0.939990234375,2024-04-05,04:10:00,,,Crossed Above Opening Range High,2310.0
2024-04-01,Monday,Loss,2272.800048828125,2268.199951171875,2286.39990234375,2249.10009765625,4.60009765625,46.0009765625,0.460009765625,20:35:00,2273.10009765625,Above Opening High,22:55:00,2274.699951171875,Above Opening High,0.5816919723389856,1.32998046875,0.5117193698215949,1.1699951171875,2024-04-07,21:25:00,,,Crossed Above Opening Range High,2332.699951171875
