Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-10,Sunday,Win,5131.25,5123.5,5191.5,5103.0,7.75,31.0,1.9375,21:42:00,5132.5,Above Opening High,21:43:00,5131.75,Above Opening High,1.1364730809977848,14.75,1.1509197727053837,14.9375,Crossed Below Opening Low,20:44:00,5123.5
2024-03-11,Monday,Win,5201.5,5196.75,5246.75,5175.75,4.75,19.0,1.1875,20:36:00,5202.25,Above Opening High,20:37:00,5201.75,Above Opening High,0.8481440891980749,11.125,0.8576737980654691,11.25,Crossed Below Opening Low,21:09:00,5196.75
2024-03-12,Tuesday,Win,5244.5,5241.5,5247.5,5217.5,3.0,12.0,0.75,20:39:00,5241.25,Below Opening Low,20:41:00,5239.75,Below Opening Low,0.45519885002395777,5.9375,0.4264494489698132,5.5625,Crossed Above Opening High,01:57:00,5244.75
2024-03-13,Wednesday,Win,5239.25,5234.75,5253.5,5188.0,4.5,18.0,1.125,21:45:00,5240.0,Above Opening High,21:58:00,5239.5,Above Opening High,0.25697154278100315,3.375,0.2664890073284477,3.5,Crossed Below Opening Low,20:30:00,5234.75
2024-03-14,Thursday,Win,5217.0,5210.0,5230.5,5167.75,7.0,28.0,1.75,20:31:00,5217.5,Above Opening High,20:35:00,5217.5,Above Opening High,0.24854220437816651,3.25,0.24854220437816651,3.25,Crossed Below Opening Low,01:44:00,5210.0
2024-03-17,Sunday,Loss,5187.25,5181.75,5240.25,5183.25,5.5,22.0,1.375,21:06:00,5187.5,Above Opening High,21:11:00,5188.25,Above Opening High,1.0066313630074901,13.1875,0.9923190687467202,13.0,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,5210.75,5206.75,5244.75,5186.0,4.0,16.0,1.0,20:46:00,5205.5,Below Opening Low,20:47:00,5205.5,Below Opening Low,0.37601234091785574,4.875,0.37601234091785574,4.875,Crossed Above Opening High,23:40:00,5212.75
2024-03-19,Tuesday,Win,5240.75,5236.25,5289.75,5233.0,4.5,18.0,1.125,21:13:00,5236.0,Below Opening Low,21:18:00,5236.0,Below Opening Low,0.05732849226065354,0.75,0.05732849226065354,0.75,Crossed Above Opening High,03:10:00,5240.75
2024-03-20,Wednesday,Win,5304.0,5300.25,5324.0,5298.75,3.75,15.0,0.9375,20:35:00,5300.0,Below Opening Low,20:39:00,5299.75,Below Opening Low,0.02359046945034206,0.3125,0.018872375560273647,0.25,Crossed Above Opening High,22:31:00,5304.0
2024-03-21,Thursday,Win,5311.0,5308.5,5311.75,5289.5,2.5,10.0,0.625,20:47:00,5307.75,Below Opening Low,20:48:00,5308.0,Below Opening Low,0.3450231590887608,4.5625,0.3497495037338123,4.625,Crossed Above Opening High,05:08:00,5311.0
